Date,Mkt-RF,SMB,HML,RMW,CMA,RF,QMJ,BAB,UMD,TSMOM,Carry,ESG,E,S,G
7/31/1966,-1.63,-0.48,0.99,-0.4,1.82,0.35,0.751371928,-0.016511378,-0.884185746,,,,,-1.9559567,3.4675383
8/31/1966,-7.91,-3.14,0.44,-0.12,0.79,0.41,1.704913517,-3.000515199,-2.100146249,,,,,1.2202683,-1.02039
9/30/1966,-1.06,-1.14,0.51,-1.79,2.33,0.4,0.511079644,1.2579034,-2.033694926,,,,,1.7439717,3.0237533
10/31/1966,3.86,-6.45,2.68,-3.48,4.24,0.45,-0.360149702,2.142210342,-5.926040761,,,,,-4.9580958,2.28333
11/30/1966,1.4,3.47,-4.77,4.15,-6.69,0.4,0.362078406,-5.292544312,7.078916621,,,,,0.23745,1.700765
12/31/1966,0.13,2.16,-1.32,0.64,-0.45,0.4,-1.27204971,-0.744980202,0.778523898,,,,,0.3168942,0.6448767
1/31/1967,8.15,9.07,2.25,0.93,-3.13,0.43,-3.385812743,1.399194477,-5.181970276,,,,,-3.4730717,-3.4835008
2/28/1967,0.78,3.05,-2.18,2.05,-0.96,0.36,-0.669415487,2.617220066,3.128436791,,,,,-0.3911783,-1.1137708
3/31/1967,3.99,1.73,0.54,0.98,-1.45,0.39,-0.6887627,0.806739781,1.108368638,,,,,-2.563065,-0.1701983
4/30/1967,3.89,0.42,-2.45,2.38,-3.64,0.32,2.730439596,1.706213989,0.834121613,,,,,-0.4272525,-1.8272925
5/31/1967,-4.33,2.19,1.18,-1.7,1.81,0.33,0.805264797,2.00809638,0.459358358,,,,,2.7966058,0.4211108
6/30/1967,2.41,6.41,0.85,-0.64,-2.41,0.27,-0.918980386,-1.634366316,5.756864138,,,,,-4.018475,-2.1082258
7/31/1967,4.58,3.52,2.72,0.52,2.7,0.31,0.366115833,4.559788926,-0.928367051,,,,,0.4563058,-1.223965
8/31/1967,-0.89,0.67,1.52,0.36,1.45,0.31,0.50234977,2.266102687,-0.927058536,,,,,3.2487058,-0.2707975
9/30/1967,3.11,2.42,-2.42,0.23,-0.95,0.32,1.346718742,2.129920878,2.466042281,,,,,4.4407275,0.1585592
10/31/1967,-3.09,0.47,-3.22,1.07,-2.62,0.39,1.052891025,-0.03654961,3.424917296,,,,,-2.44551,1.6442342
11/30/1967,0.37,-0.06,-1.69,1.35,-2.34,0.36,-0.083774009,-0.751137317,1.319293634,,,,,4.4685883,0.3575408
12/31/1967,3.05,5.78,-0.63,-0.82,0.13,0.33,-1.618151768,0.19629316,2.659358458,,,,,-1.2036817,-0.0151358
1/31/1968,-4.06,4.48,4.84,-4.59,6.46,0.4,-0.357892375,6.29245381,-4.82219405,,,,,-4.6756425,2.9684892
2/29/1968,-3.75,-2.92,1.33,-0.14,2.45,0.39,2.056341915,2.130761571,-2.974778653,,,,,-1.7747742,2.4469017
3/31/1968,0.2,-1.6,-0.59,1.06,-1.1,0.38,0.164935917,-1.584106957,2.739873698,,,,,-2.1467425,-0.327175
4/30/1968,9.05,6.18,-1.17,2.7,-3.65,0.43,-2.010790591,0.169513877,4.305188046,,,,,-0.9165458,-4.5152925
5/31/1968,2.28,7.1,0.66,0.31,-1.92,0.45,-0.388798486,1.813854879,2.804668324,,,,,-2.22079,-0.3500608
6/30/1968,0.69,-0.36,0.83,-1.31,2.76,0.43,-0.436122249,6.892706472,-1.88461984,,,,,-0.5054875,0.894595
7/31/1968,-2.72,-1.42,5.39,-3.14,3.64,0.48,1.280087424,2.474871913,-1.289090634,,,,,-0.2270192,4.4242992
8/31/1968,1.34,2.26,1,-0.7,0.45,0.42,-0.41196941,0.146199785,2.120735868,,,,,-2.5907342,-0.4437242
9/30/1968,4.03,2.84,0.3,-1.99,0.88,0.43,-3.188301546,0.71084155,-0.930289911,,,,,0.9227725,-1.3353158
10/31/1968,0.42,-0.38,2.86,-1.32,2.53,0.44,-0.009321472,3.220959274,-1.750919723,,,,,0.5184908,-1.289885
11/30/1968,5.43,2.41,-0.93,0.43,-2.26,0.42,-1.4073137,2.570838404,-0.095120131,,,,,2.7483658,-1.0371325
12/31/1968,-3.94,3.56,-0.01,-1.86,1.7,0.43,-0.281150694,1.045095688,0.343232651,,,,,-6.5429675,-0.297095
1/31/1969,-1.25,-0.45,1.68,-1.55,1.37,0.53,-0.567672355,0.687733671,0.115089063,,,,,-2.6801833,1.2026608
2/28/1969,-5.84,-4.17,0.9,2.07,0.78,0.46,4.177811511,-0.307086839,-2.426246874,,,,,1.6231033,3.904705
3/31/1969,2.64,-0.42,-0.52,-1.42,-0.46,0.46,0.165991991,-1.764079094,4.193007425,,,,,1.4477867,1.53245
4/30/1969,1.46,-0.83,-0.03,0.41,0.23,0.53,0.721215263,-0.483087514,1.310137004,,,,,0.9032567,0.0557325
5/31/1969,-0.1,-0.11,0.72,-0.95,1.25,0.48,1.3934805,1.763633554,2.304338132,,,,,-1.28305,1.0856433
6/30/1969,-7.18,-5.5,-1.09,4.32,-1.53,0.51,4.590544074,-1.309498026,-1.980825358,,,,,0.9481042,4.2673517
7/31/1969,-7,-3.39,1.18,1.45,1.93,0.53,2.704684062,-1.044826915,1.341411272,,,,,-3.3608525,2.7061867
8/31/1969,4.68,0.66,-3.77,1.17,-4.04,0.5,-0.143399456,-1.314438671,1.88940085,,,,,1.0485858,-4.1299908
9/30/1969,-2.98,1.24,-3.19,3.45,-0.77,0.62,3.833273292,0.1183187,2.220721032,,,,,-4.4072992,-2.066995
10/31/1969,5.06,3.91,-3.1,0.12,-2.14,0.6,-1.619666223,1.196407264,-2.801955235,,,,,-5.4294592,-5.4801033
11/30/1969,-3.79,-2.45,-1.21,1.45,0.28,0.52,2.82656469,-0.375037084,3.898126359,,,,,-2.4359617,0.0608217
12/31/1969,-2.63,-3.77,-2.84,2.54,-1.78,0.64,4.048694353,0.566342209,4.973826801,,,,,-1.1308975,0.7645092
1/31/1970,-8.1,3.13,3.12,-1.71,3.85,0.6,1.799384292,0.983384213,1.423797599,,,,,-3.95041,-0.0605992
2/28/1970,5.13,-2.74,3.93,-2.32,2.74,0.62,-2.488173634,2.61454647,-0.610495514,,,,,1.1184025,0.6857008
3/31/1970,-1.06,-2.4,3.99,-1.01,4.32,0.57,0.810725094,4.181468549,-1.133464337,,,,,-0.4305783,2.773025
4/30/1970,-11,-6.37,6.17,-0.69,6.26,0.5,3.903967943,1.389375509,0.838814819,,,,,-2.7228533,7.6606575
5/31/1970,-6.92,-4.45,3.32,-1.25,3.92,0.53,0.682012825,-4.987484127,-2.445220181,,,,,-3.3969067,6.2201692
6/30/1970,-5.79,-2.21,0.6,0.13,2.97,0.58,3.69835622,4.392072737,4.716464318,,,,,-6.2643267,1.9980017
7/31/1970,6.93,-0.62,0.91,-0.25,1.81,0.52,-0.19963674,3.396370649,-3.641855152,,,,,0.0225083,5.1255425
8/31/1970,4.49,1.53,1.27,0.56,-0.19,0.53,-2.0603997,-1.093807505,-7.208884663,,,,,7.4279133,-0.1866742
9/30/1970,4.18,8.5,-5.52,0.3,-5.84,0.54,-3.175566457,-5.481686171,-9.096156631,,,,,1.3045708,-7.4182767
10/31/1970,-2.28,-4.43,0.21,1.71,2.32,0.46,4.050491506,4.328413159,7.92935701,,,,,-4.7638517,1.1786717
11/30/1970,4.6,-3.86,1.7,1.56,1.48,0.46,0.940314752,4.368870263,2.512834317,,,,,-1.0371308,3.0922717
12/31/1970,5.72,2.93,0.99,0.24,0.29,0.42,-0.82188375,6.050445322,-2.521587108,,,,,3.5533533,-0.2341617
1/31/1971,4.84,7.54,1.48,-1.99,0.06,0.38,-4.367871321,-1.541169602,-4.633014228,,,,,1.3759292,-1.7544258
2/28/1971,1.41,2.04,-1.27,0.58,-0.69,0.33,1.374100935,-0.280592264,-0.330950771,,,,,-0.7251017,-1.3727475
3/31/1971,4.13,2.26,-4.03,1.83,-2.7,0.3,0.911206029,0.063456538,-1.12926362,,,,,-0.308895,-1.6295517
4/30/1971,3.15,-0.35,0.81,-1.46,0.89,0.28,-1.059683981,-0.267315611,2.9959405,,,,,-0.8746725,-2.1320767
5/31/1971,-3.98,-1.11,-1.41,1.39,0.24,0.29,1.669210717,-0.422710531,1.172692419,,,,,2.0499917,-1.9124467
6/30/1971,-0.1,-1.49,-1.94,1.55,-1.65,0.37,0.698813179,1.550253377,2.980142421,,,,,-1.686155,-2.4900225
7/31/1971,-4.5,-1.42,-0.01,0.57,1.49,0.4,2.633372797,1.522789084,-2.34229962,,,,,-2.67987,0.3767225
8/31/1971,3.79,-0.15,2.64,-0.45,2.63,0.47,-2.730416245,-0.036235606,3.744669272,,,,,0.94168,1.79859
9/30/1971,-0.85,0.28,-2.91,2.55,-1.59,0.37,2.260370334,0.08308738,2.090131282,,,,,-1.3482033,-1.3605208
10/31/1971,-4.42,-1.59,-0.48,1.58,-1.38,0.37,2.638661311,0.840297829,0.573296688,,,,,0.4015292,0.9740375
11/30/1971,-0.46,-2.87,-1.7,2.41,-0.33,0.37,1.78672522,-0.055389085,1.482282008,,,,,-2.6030525,1.633945
12/31/1971,8.71,3.25,-0.41,-0.39,-1.73,0.37,-1.422516689,2.983233299,-0.506703639,,,,,-2.5494983,-1.08096
1/31/1972,2.49,6.12,2.27,-1.68,0.52,0.29,-1.568134512,-4.231655934,-0.206161227,,,,,0.8688625,1.8677908
2/29/1972,2.87,0.89,-2.77,1.63,-0.53,0.25,1.121852058,-0.338027966,3.348472086,,,,,-3.3871108,-3.6036983
3/31/1972,0.63,-0.47,-1.63,1.61,-0.15,0.27,0.560682669,1.304495979,3.080828947,,,,,0.6282092,0.0897025
4/30/1972,0.29,0.2,0.1,-0.45,-1,0.29,-0.150431387,-0.298927001,2.7957134,,,,,-6.4743817,-2.1282858
5/31/1972,1.25,-3.12,-2.72,2.38,-1.92,0.3,3.498309346,1.021314945,3.085440922,,,,,-4.122755,-1.6822717
6/30/1972,-2.43,-0.47,-2.49,1.81,-0.34,0.29,2.876232573,0.064327083,1.852808312,,,,,-4.0826225,-1.5093917
7/31/1972,-0.8,-2.77,0.66,1.14,-0.65,0.31,2.259551074,1.447295771,2.987987758,,,,,1.237025,1.8770025
8/31/1972,3.26,-3.48,4.53,-1.95,2.88,0.29,-1.305238378,2.284684671,-5.391694572,,,,,3.5819208,3.8339625
9/30/1972,-1.14,-2.22,0.47,1.72,-1.97,0.34,1.62080085,0.29828122,1.59960351,,,,,0.1787167,-0.6865542
10/31/1972,0.52,-2.54,1.35,-0.15,-0.02,0.4,0.255953612,2.449237095,1.157782397,,,,,1.95778,-1.632295
11/30/1972,4.6,-0.63,4.83,-1.98,3.34,0.37,-2.420535709,3.04182566,-4.74254836,,,,,-1.2126917,0.5234683
12/31/1972,0.62,-1.9,-2.19,2.58,-2.15,0.37,3.062284856,1.543685885,5.352408896,,,,,1.1604292,0.245435
1/31/1973,-3.29,-2.82,2.68,0.38,0.9,0.44,2.911496736,-0.846153026,3.725896687,,,,,0.2989542,5.9101408
2/28/1973,-4.85,-3.9,1.6,-0.25,0.02,0.41,1.372466176,-0.023624678,0.769940394,,,,,-5.7721825,1.0898458
3/31/1973,-1.3,-2.33,2.62,-1.04,0.64,0.46,-0.434321943,-0.605457304,3.654600437,,,,,-2.1550717,0.8251742
4/30/1973,-5.68,-2.95,5.42,-1.65,2.73,0.52,1.120957889,1.285174283,6.386051204,,,,,1.7574933,5.0265033
5/31/1973,-2.94,-6.18,0.41,1.94,-1.51,0.51,2.065273232,0.709877651,5.376077864,,,,,-1.0572175,1.3510892
6/30/1973,-1.57,-2.51,1.19,-0.27,0.21,0.51,1.615021726,-0.785561027,4.446824122,,,,,0.4078567,1.5802017
7/31/1973,5.05,7.26,-5.26,-0.05,-3.27,0.64,-2.444661576,-3.944356064,-10.83491779,,,,,3.0866575,-10.4248583
8/31/1973,-3.82,-1.79,1.06,-1.28,1.29,0.7,-0.186971876,-0.267377214,3.217512689,,,,,-0.1253683,0.88828
9/30/1973,4.75,3.57,2.24,-2.3,1.75,0.68,-5.199871096,2.244693996,-5.22925841,,,,,7.51199,-6.82204
10/31/1973,-0.83,-0.3,1.6,-1.83,2.68,0.65,0.915596156,1.350751568,6.629771044,,,,,-1.6567908,6.7761183
11/30/1973,-12.75,-7.27,3.99,-2.58,1.69,0.56,2.025668766,-4.121837427,6.248145113,,,,,-0.1883017,7.9795
12/31/1973,0.61,-4.66,3.94,-2.69,2.41,0.64,-2.160797565,1.59660762,8.477286025,,,,,-0.0795892,0.92813
1/31/1974,-0.17,10.39,6,-3.18,4.48,0.63,-3.318770422,-2.047844192,-8.969105125,,,,,1.5082575,-3.5049958
2/28/1974,-0.47,0.12,2.5,-1.87,2.62,0.58,-2.08499896,2.372027716,0.911457082,,,,,1.8471225,-0.1010133
3/31/1974,-2.81,2.61,-0.12,2.79,0.45,0.56,3.143365691,0.630253339,-1.889989135,,,,,1.2962017,1.9210633
4/30/1974,-5.29,-0.69,0.87,2.88,2.08,0.75,3.254994394,-3.476740192,2.226237889,,,,,-2.5827158,-0.0812592
5/31/1974,-4.68,-3.08,-2.07,4.93,-0.4,0.75,4.473472744,-1.596128987,-1.527175961,,,,,-4.6187442,-2.7443758
6/30/1974,-2.83,0.02,0.79,0.62,2.9,0.6,1.700974045,-0.370936333,2.143425534,,,,,-3.5823642,3.4400208
7/31/1974,-8.05,1.92,5.17,-3.26,4.6,0.7,-1.500770318,-0.279798736,2.505554397,,,,,4.6586525,4.4366758
8/31/1974,-9.35,0.26,2.64,-0.28,2.6,0.6,0.154159226,-4.774567025,3.201601097,,,,,3.5309125,3.7059692
9/30/1974,-11.77,1.48,5.59,-4.43,5.92,0.81,-2.379067476,-1.094607954,4.647323517,,,,,7.80451,5.5358967
10/31/1974,16.1,-6.82,-9.88,-0.22,-2.87,0.51,1.513459056,4.575053003,-0.493287254,,,,,-4.2393625,-0.4173658
11/30/1974,-4.51,-1.48,-0.2,-3.35,2.94,0.54,-1.333282858,-1.465507346,2.882581705,,,,,-1.0569992,-0.77394
12/31/1974,-3.45,-4.35,0.11,-0.69,3.26,0.7,1.012945724,-2.667862935,2.891510507,,,,,-0.15498,5.1919842
1/31/1975,13.66,12.92,8.27,-0.76,-0.92,0.58,-5.767463579,4.835227597,-13.1372775,,,,,0.8983483,-7.3367842
2/28/1975,5.56,-0.65,-4.44,1.15,-2.12,0.43,2.751391675,-0.690963233,-1.003023775,,,,,-1.0548042,-1.2311808
3/31/1975,2.66,3.99,2.39,1.23,-1.31,0.41,0.013745709,-4.062471769,-2.266038747,,,,,-6.073635,-5.8186692
4/30/1975,4.23,-0.72,-1.13,1.42,-1.35,0.44,2.90346352,1.148083941,1.753119562,,,,,0.5324242,-2.2426258
5/31/1975,5.19,2.89,-4.1,-0.99,-0.61,0.44,-1.709081223,1.392871778,-0.423454502,,,,,3.83952,-1.2160617
6/30/1975,4.83,1.42,1.4,-2.66,1.1,0.41,-3.6739298,2.946217545,-0.526756249,,,,,3.1877725,0.8021842
7/31/1975,-6.59,3.44,1.69,0.46,1.23,0.48,-0.647874916,4.014920658,0.127656809,,,,,1.29539,3.1647317
8/31/1975,-2.85,-2.84,-0.94,1.12,-0.93,0.48,2.004935444,-0.291825702,0.110671707,,,,,3.0661933,2.1391308
9/30/1975,-4.26,0.05,0.43,0.53,0.55,0.53,1.498458417,2.559949818,0.708121041,,,,,-0.5063358,2.7549458
10/31/1975,5.31,-4.22,0.27,-0.48,2.2,0.56,0.019466607,1.940718323,0.814705204,,,,,-2.5842983,-2.8344575
11/30/1975,2.64,-1.1,2.05,-0.68,1.78,0.41,-0.173347968,1.473505843,-0.460544959,,,,,-2.8197783,-1.4701233
12/31/1975,-1.6,-0.05,1.69,-0.09,0.58,0.48,-1.431763794,-1.80060982,-0.48791288,,,,,0.5951,2.5251142
1/31/1976,12.16,6.32,8.57,-1.79,2.27,0.47,-2.836332941,2.537268037,3.69333732,,,,,2.082215,0.0697525
2/29/1976,0.32,7.98,5.82,-2.6,3.83,0.34,-2.467594303,0.663634131,-0.272277577,,,,,4.4009117,3.3443967
3/31/1976,2.32,-1.39,-0.11,-0.33,0.94,0.4,0.140152521,-0.451334085,0.266632993,,,,,1.9171892,-2.091105
4/30/1976,-1.49,0.08,-0.14,0.4,-1.08,0.42,-0.862174025,2.501400777,0.373781714,,,,,-0.396195,2.0339925
5/31/1976,-1.34,-1.1,-1.35,2.45,-1.4,0.37,1.279795133,0.210762855,-1.036127617,,,,,2.1606383,3.3279008
6/30/1976,4.05,-1.07,0.69,-0.67,1.01,0.43,-1.373900221,-1.335561066,-0.199709666,,,,,4.8817333,1.2783675
7/31/1976,-1.07,0.63,1.73,-1.05,0.28,0.47,-0.196914613,1.865967028,0.118047844,,,,,-3.0987417,1.2797667
8/31/1976,-0.56,-1.98,0.81,-0.41,-0.55,0.42,-0.149046987,1.383446979,-0.475230063,,,,,-2.1588342,-1.2550383
9/30/1976,2.07,0.1,-0.29,0.98,-1.15,0.44,0.819404069,1.724659234,0.424783567,,,,,0.1446758,1.4611717
10/31/1976,-2.42,0.13,-0.18,-0.19,-0.37,0.41,-0.088486692,1.117430886,-0.171595709,,,,,0.7162925,0.1534367
11/30/1976,0.36,2.66,1.51,-1.41,0.09,0.4,-2.005738579,0.44982948,2.227768856,,,,,4.614965,-0.1034117
12/31/1976,5.65,3.64,2.27,-0.62,2.28,0.4,-0.886005828,3.16607207,0.464526187,,,,,1.1960075,1.7009158
1/31/1977,-4.05,5.9,4.27,-0.51,1.97,0.36,-2.627740017,4.07226533,4.018942167,,,,,4.0491033,2.8350142
2/28/1977,-1.94,1.07,0.47,-0.16,-0.22,0.35,2.074894586,2.488883164,0.152832654,,,,,-0.8395808,-0.1543392
3/31/1977,-1.37,1.31,1.09,-0.3,-0.06,0.38,-0.847717011,1.229904945,0.561431621,,,,,1.4467142,-0.7481133
4/30/1977,0.15,0.61,3.38,-2.02,1.14,0.38,-1.734602873,1.055662315,3.875962968,,,,,0.3388575,1.1180767
5/31/1977,-1.45,1.31,0.85,0.33,0.19,0.37,-0.700317655,1.035318252,2.155320266,,,,,-0.226415,0.1852908
6/30/1977,4.71,2.08,-0.74,0.91,-1.2,0.4,-0.833277489,-0.222856703,1.649902931,,,,,2.5709675,0.2887442
7/31/1977,-1.69,1.88,-0.57,0.74,0.09,0.42,0.918374926,2.860288801,0.181603115,,,,,-1.9546267,1.2803092
8/31/1977,-1.75,0.86,-2.73,0.99,-0.69,0.44,3.053998797,0.343674649,-1.774578511,,,,,-3.8454708,-0.6618042
9/30/1977,-0.27,1.43,-0.46,1.45,-0.84,0.43,0.350445105,0.411782678,2.421079763,,,,,-1.4938975,-0.7252283
10/31/1977,-4.38,1.48,1.81,-0.19,-0.29,0.49,1.051249669,0.183007816,-0.032696952,,,,,-0.3152967,1.8714133
11/30/1977,4,3.64,0.23,-0.13,0.71,0.5,-0.643568657,0.279532381,2.106397893,,,,,1.4977933,-2.1181833
12/31/1977,0.27,1.59,-0.3,0.91,-0.69,0.49,0.370811576,2.369207843,1.551105877,,,,,-0.00161667,0.9850883
1/31/1978,-6.01,2.72,3.36,-1.7,1.52,0.49,-1.083140316,0.234317433,-0.255533581,,,,,-0.7081517,1.0166792
2/28/1978,-1.38,3.7,0.83,0.33,1.04,0.46,-0.04273206,1.490645424,1.791972073,,,,,-0.3424067,-0.93399
3/31/1978,2.85,3.71,1.16,-0.59,1.88,0.53,-1.432480096,1.633305473,0.913575001,,,,,-2.3589417,-5.0868133
4/30/1978,7.88,-0.27,-3.57,2.83,-1.29,0.54,3.029319085,3.206380157,-0.514256685,,,,,0.5065817,2.2213608
5/31/1978,1.76,4.58,-0.53,0.24,0.37,0.51,0.529382059,2.21198083,1.931188787,,,,,-1.6732308,-2.7120367
6/30/1978,-1.69,1.56,0.57,-1.41,-0.03,0.54,-0.319604498,2.099444303,2.103905246,,,,,-0.9523742,0.0370508
7/31/1978,5.11,0.13,-1.11,1.55,-0.79,0.56,1.27042162,0.373601099,3.88375276,,,,,0.7570383,0.3254042
8/31/1978,3.75,4.95,-0.57,1.41,0.44,0.56,0.638708109,4.649456452,2.503437552,,,,,2.3921333,-3.6290792
9/30/1978,-1.43,-0.31,1.86,-0.65,1.8,0.62,-0.977738798,2.389363133,-2.899125838,,,,,-1.0237408,0.7986133
10/31/1978,-11.91,-10.07,1.39,0.18,0.99,0.68,3.360363072,-3.753185077,-8.796919564,,,,,0.1639492,6.1495183
11/30/1978,2.71,2.85,-2.14,1.11,-1.19,0.7,-0.503136051,-4.213948207,5.249299954,,,,,-0.4542167,0.2108442
12/31/1978,0.88,1.12,-2.13,1.95,-1.38,0.78,2.384688901,0.219820754,3.035455208,,,,,0.4320158,1.5932925
1/31/1979,4.23,3.79,2.2,-2.49,1.51,0.77,-2.694630124,3.340400126,-1.797660961,,,,,1.8201208,-3.2841417
2/28/1979,-3.56,0.54,1.14,-1.11,0.96,0.73,-0.888187668,1.036717526,-0.807057464,,,,,-0.72851,2.6259683
3/31/1979,5.68,3.2,-0.73,0.51,0.28,0.81,-1.724187377,-1.353342449,3.173251364,,,,,-0.03837,0.2414717
4/30/1979,-0.06,2.4,1.08,1.11,0.21,0.8,0.953893342,1.128934352,0.927255747,,,,,0.5984075,-0.1888117
5/31/1979,-2.21,0.17,1.32,-1.55,-0.27,0.82,-1.528258966,-0.123253032,-0.648195978,,,,,1.5624025,1.3646408
6/30/1979,3.85,0.99,1.39,-1.59,-0.47,0.81,-2.943184027,1.649201228,0.854137478,,,,,-0.415515,-1.889135
7/31/1979,0.82,1.27,1.86,-0.28,0.71,0.77,0.573462708,1.600372699,-0.903715434,,,,,-1.1511483,-0.5384217
8/31/1979,5.53,1.92,-1.58,1.6,-1.47,0.77,0.99800281,1.95644853,0.439611878,,,,,-1.5526192,-2.3773008
9/30/1979,-0.82,-0.33,-0.9,1,0.32,0.83,0.054701873,0.393788958,5.222096393,,,,,3.5180683,2.6545725
10/31/1979,-8.1,-3.51,-1.86,1,0.1,0.87,2.213434266,-4.702510011,2.11102141,,,,,0.564545,3.7821008
11/30/1979,5.21,2.53,-3.28,0.02,-2.12,0.99,-2.213108426,-1.600300223,7.690412353,,,,,-1.3921225,-2.379405
12/31/1979,1.79,4.32,-2.1,-0.72,-0.9,0.95,-1.256614497,0.835788154,4.757878146,,,,,-0.4639267,-1.6477358
1/31/1980,5.51,1.82,1.75,-1.69,1.71,0.8,-2.736992579,2.631074506,7.811847805,,,,,3.5289567,4.0778367
2/29/1980,-1.22,-1.58,0.61,0.07,2.7,0.89,-2.003906975,-1.532423849,8.922426854,,7.7056,,,3.2943392,6.2668917
3/31/1980,-12.9,-6.92,-1.01,1.45,-1.16,1.21,4.70304821,-4.709093422,-9.61125145,,8.8175,,,-5.5022008,-0.4611317
